,station_id,zipcode
554,3780.0,11237
555,3845.0,11237
556,3840.0,11237
557,3848.0,11221
558,3563.0,11106
559,3860.0,11237
560,3861.0,11237
561,3847.0,11221
562,3617.0,11101
563,3855.0,11211
564,267.0,10019
565,3852.0,11237
566,3838.0,11221
567,3862.0,11237
568,3846.0,11221
569,250.0,10012
570,3837.0,11221
571,3841.0,11221
572,3891.0,11237
573,3812.0,10003
574,309.0,10282
575,3836.0,11221
576,3870.0,11206
577,3863.0,11221
578,3834.0,11237
579,3864.0,11207
580,3869.0,11221
581,3851.0,11415
582,3856.0,11222
583,525.0,10001
584,3865.0,11207
585,3879.0,11221
586,3890.0,11221
587,3827.0,11233
588,3826.0,11207
589,3833.0,11221
590,3595.0,11106
591,3829.0,11207
592,3828.0,11207
593,3835.0,11221
594,3832.0,11221
595,3866.0,11207
596,3883.0,11385
597,3895.0,11237
598,3882.0,11385
599,3868.0,11237
600,3871.0,11207
601,3857.0,11222
602,3830.0,11207
603,3873.0,11385
604,3825.0,11207
605,3874.0,11385
606,3893.0,11233
607,3896.0,11385
608,3875.0,11385
609,3901.0,11237
610,3885.0,11385
611,3903.0,11221
612,3880.0,11385
613,3824.0,11207
614,3888.0,11385
615,3878.0,11385
616,3876.0,11385
617,3872.0,11385
618,3900.0,11222
619,3709.0,10019
620,3877.0,11385
621,3246.0,11201
622,3831.0,11221
623,3897.0,11385
624,3887.0,11385
625,3910.0,11237
626,72.0,10019
627,3886.0,11385
628,3902.0,11385
629,3907.0,11206
630,3909.0,11385
631,3144.0,10028
632,3858.0,11222
633,3899.0,11222
634,3395.0,11231
635,3884.0,11385
636,3738.0,10002
637,3744.0,10003
638,3146.0,10028
639,3707.0,10037
640,3917.0,11201
641,3786.0,10002
642,453.0,10011
643,3913.0,11251
644,3916.0,10038
645,3600.0,11103
646,3143.0,10075
647,540.0,10037
648,3808.0,11101
649,252.0,10011
650,408.0,10002
651,3798.0,10018
652,3568.0,11106
653,3528.0,11105
654,3785.0,10019
655,367.0,10022
656,3287.0,10024
657,3170.0,10024
658,517.0,10037
659,3859.0,11222
660,331.0,10002
661,3358.0,11215
662,3740.0,10012
663,427.0,10004
664,3739.0,10014
665,411.0,10009
666,228.0,10017
667,508.0,10036
668,3898.0,10065
669,478.0,10018
670,3516.0,11102
671,3388.0,11231
672,3314.0,10025
673,3531.0,10027
674,3524.0,11105
675,3532.0,11105
676,3799.0,10019
677,3646.0,11101
678,3566.0,11106
679,379.0,10001
680,447.0,10019
681,3226.0,10024
682,518.0,10016
683,3867.0,11233
684,3533.0,10027
685,3992.0,10032
686,3130.0,11101
687,3919.0,10005
688,3573.0,11106
689,470.0,10011
690,3918.0,10009
691,3357.0,10025
692,3312.0,10128
693,3140.0,10075
694,3351.0,10029
695,3905.0,10003
696,2008.0,10280
697,3619.0,11106
698,505.0,10019
699,3518.0,10027
700,3513.0,11106
701,3723.0,11201
702,3814.0,10022
703,173.0,10019
704,519.0,10037
705,3945.0,10031
706,3421.0,11217
707,3236.0,10036
708,3793.0,10009
709,2006.0,10107
710,388.0,10001
711,3178.0,10024
712,3514.0,11105
713,3733.0,10009
714,3716.0,11101
715,3697.0,10069
716,3168.0,10024
717,339.0,10009
718,464.0,10022
719,2010.0,10013
720,485.0,10018
721,3134.0,10065
722,3734.0,10022
723,3911.0,11217
724,3154.0,10075
725,3712.0,10001
726,3363.0,10029
727,501.0,10016
728,3527.0,10035
729,3496.0,10029
730,3288.0,10128
